season_id,age_group_id,region_id,club_id,league_group_id,division_name,group_name,group_hash_url
2022,1,1,-3,14806,Badmintonligaen,Final 4,"https://badmintonplayer.dk/DBF/HoldTurnering/Stilling/#2,2022,14806,1,1,,,-3,"
2022,1,1,-3,14805,Badmintonligaen,Grundspil,"https://badmintonplayer.dk/DBF/HoldTurnering/Stilling/#2,2022,14805,1,1,,,-3,"
2022,1,1,-3,14807,Badmintonligaen,Kvalifikationskamp mod 1. division,"https://badmintonplayer.dk/DBF/HoldTurnering/Stilling/#2,2022,14807,1,1,,,-3,"
2022,1,1,-3,15488,Badmintonligaen (oversidder-runder),Oversidder-runder/papirhold,"https://badmintonplayer.dk/DBF/HoldTurnering/Stilling/#2,2022,15488,1,1,,,-3,"
2022,1,1,-3,15339,1. division,Kvalifikation til Badmintonligaen,"https://badmintonplayer.dk/DBF/HoldTurnering/Stilling/#2,2022,15339,1,1,,,-3,"
2022,1,1,-3,15516,1. division,Kvalifikationskampe,"https://badmintonplayer.dk/DBF/HoldTurnering/Stilling/#2,2022,15516,1,1,,,-3,"
2022,1,1,-3,15340,1. division,Nedrykning fra 1. division,"https://badmintonplayer.dk/DBF/HoldTurnering/Stilling/#2,2022,15340,1,1,,,-3,"
2022,1,1,-3,15543,1. division (oversidder-runder),Papirhold,"https://badmintonplayer.dk/DBF/HoldTurnering/Stilling/#2,2022,15543,1,1,,,-3,"
2022,1,1,-3,14808,1. division,Pulje 1,"https://badmintonplayer.dk/DBF/HoldTurnering/Stilling/#2,2022,14808,1,1,,,-3,"
2022,1,1,-3,14809,1. division,Pulje 2,"https://badmintonplayer.dk/DBF/HoldTurnering/Stilling/#2,2022,14809,1,1,,,-3,"
2022,1,1,-3,14812,2. division,Kvalifikation til 1. division,"https://badmintonplayer.dk/DBF/HoldTurnering/Stilling/#2,2022,14812,1,1,,,-3,"
2022,1,1,-3,14813,2. division,Nedrykning fra 2. division,"https://badmintonplayer.dk/DBF/HoldTurnering/Stilling/#2,2022,14813,1,1,,,-3,"
2022,1,1,-3,15544,2. division (oversidder-runder),Papirhold,"https://badmintonplayer.dk/DBF/HoldTurnering/Stilling/#2,2022,15544,1,1,,,-3,"
2022,1,1,-3,14810,2. division,Pulje 1,"https://badmintonplayer.dk/DBF/HoldTurnering/Stilling/#2,2022,14810,1,1,,,-3,"
2022,1,1,-3,14811,2. division,Pulje 2,"https://badmintonplayer.dk/DBF/HoldTurnering/Stilling/#2,2022,14811,1,1,,,-3,"
2022,1,1,-3,15342,3. division,"Kvalifikation til 2. division, pulje A","https://badmintonplayer.dk/DBF/HoldTurnering/Stilling/#2,2022,15342,1,1,,,-3,"
2022,1,1,-3,15343,3. division,"Kvalifikation til 2. division, pulje B","https://badmintonplayer.dk/DBF/HoldTurnering/Stilling/#2,2022,15343,1,1,,,-3,"
2022,1,1,-3,14822,3. division,Kvalifikationskampe,"https://badmintonplayer.dk/DBF/HoldTurnering/Stilling/#2,2022,14822,1,1,,,-3,"
2022,1,1,-3,15344,3. division,"Nedrykning fra 3. division, pulje A","https://badmintonplayer.dk/DBF/HoldTurnering/Stilling/#2,2022,15344,1,1,,,-3,"
2022,1,1,-3,15345,3. division,"Nedrykning fra 3. division, pulje B","https://badmintonplayer.dk/DBF/HoldTurnering/Stilling/#2,2022,15345,1,1,,,-3,"
2022,1,1,-3,15545,3. division (oversidder-runder),Papirhold,"https://badmintonplayer.dk/DBF/HoldTurnering/Stilling/#2,2022,15545,1,1,,,-3,"
2022,1,1,-3,14814,3. division,Pulje 1,"https://badmintonplayer.dk/DBF/HoldTurnering/Stilling/#2,2022,14814,1,1,,,-3,"
2022,1,1,-3,14815,3. division,Pulje 2,"https://badmintonplayer.dk/DBF/HoldTurnering/Stilling/#2,2022,14815,1,1,,,-3,"
2022,1,1,-3,14816,3. division,Pulje 3,"https://badmintonplayer.dk/DBF/HoldTurnering/Stilling/#2,2022,14816,1,1,,,-3,"
2022,1,1,-3,14817,3. division,Pulje 4,"https://badmintonplayer.dk/DBF/HoldTurnering/Stilling/#2,2022,14817,1,1,,,-3,"
2022,1,1,-3,15346,Danmarksserien,"Kvalifikation til 3. division, pulje A","https://badmintonplayer.dk/DBF/HoldTurnering/Stilling/#2,2022,15346,1,1,,,-3,"
2022,1,1,-3,15347,Danmarksserien,"Kvalifikation til 3. division, pulje B","https://badmintonplayer.dk/DBF/HoldTurnering/Stilling/#2,2022,15347,1,1,,,-3,"
